"filename", "language", "C++", "Batch", "C", "comment", "blank", "total"
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1307.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1308.c", "C", 0, 0, 22, 0, 0, 22
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1309.c", "C", 0, 0, 32, 0, 0, 32
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1310.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1311.c", "C", 0, 0, 29, 0, 1, 30
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1312.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1314.c", "C", 0, 0, 30, 0, 0, 30
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1315.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1316.c", "C", 0, 0, 18, 0, 0, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1317.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1318.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1319.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1320.c", "C", 0, 0, 35, 0, 0, 35
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1322.c", "C", 0, 0, 29, 0, 0, 29
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1323.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1324.c", "C", 0, 0, 28, 0, 0, 28
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1325.c", "C", 0, 0, 36, 0, 0, 36
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1326.c", "C", 0, 0, 29, 0, 1, 30
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1327.c", "C", 0, 0, 11, 0, 1, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1328.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1329.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1330.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1331.c", "C", 0, 0, 13, 0, 0, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1333.c", "C", 0, 0, 16, 0, 0, 16
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1334.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1335.c", "C", 0, 0, 11, 0, 1, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1336.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1337.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1338.c", "C", 0, 0, 30, 0, 0, 30
